id,state,created_date,modified_date,deleted_date,nombre,genero,sinopsis,emision,fecha_salida,image,promedio_puntuaciones,categoria,color,cantidad_episodios,link_imdb,promedio_puntuaciones_imdb
27,1,2023-10-08,2024-07-07,2024-07-07,Angolmois Genkou Kassenki,"1,9,17,24,33",The story follows a group of prisoners who are exiled to Tsushima Island to help form a first line of defense against the first Mongol invasion of Japan in 1274. They first join the So clan who then join with the Toi Barai clan to fight the invaders consisting mainly of Mongolian...,0,2018-07-01,portada/2022/01/11/Angolmois_Genkou_Kassenki_MID.jpg,6.6,1,8,12,https://www.imdb.com/title/tt8673808/,7.1
28,1,2023-10-08,2024-07-07,2024-07-07,Ano Hi Mita Hana no Namae wo Boku-tachi wa Mada Shiranai,"9,20,43","Five childhood companions reunite when the ghost of their dead friends appears, and demands they grant her final wish.",0,2011-04-01,portada/2022/01/11/Ano_Hi_Mita_Hana_no_Namae_wo_Boku-tachi_wa_Mada_Shiranai_MID.png,7.6,1,8,11,https://www.imdb.com/title/tt1913273/,8.1
29,1,2023-10-08,2024-07-07,2024-07-07,Another,"9,26,34,43,45",A young man named Koichi Sakakibara transfers to a new school where he finds himself drawn into a mystery involving a mysterious girl and a series of gruesome deaths.,0,2011-12-01,portada/2022/01/11/Another_MID.png,7.8,1,8,12,https://www.imdb.com/title/tt2176165/,7.5
30,1,2023-10-08,2024-07-07,2024-07-07,Ansatsu Kyoushitsu,"1,5,34,38","A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill him. An assassination classroom begins.",0,2015-01-01,portada/2022/01/11/Ansatsu_Kyoushitsu_MID.jpg,8.7,1,6,47,https://www.imdb.com/title/tt3837246/,8.0
31,1,2023-10-08,2024-07-07,2024-07-07,Ao no Exorcist,"1,12,38,43","Rin and his friends, along with the rest of True Cross Academy Town, are in the midst of preparing for a festival that is celebrated only once every 11 years. While the barriers protecting the city from demon intrusions are being repaired, Rin and his twin brother Yukio are sent ...",0,2011-04-01,portada/2023/10/10/Ao_no_Exorcist.jpg,7.0,1,6,49,https://www.imdb.com/title/tt3028018/,7.1
32,1,2023-10-08,2024-07-07,2024-07-07,Aoi Bungaku,"9,17,30,36,44","The story of a man who struggles with relating to humans. The man feels utterly detached from everything that makes one truly human. A truly harrowing portrait of brokenness, made all the more frightening for how relatable it is.",0,2009-10-01,portada/2022/01/11/Aoi_Bungaku_MID.png,6.8,1,8,12,https://www.imdb.com/title/tt1805647/,7.5
33,1,2023-10-08,2024-07-07,2024-07-07,Aoki Hagane no Arpeggio,"1,35,36","After global warming causes sea levels to rise, a mysterious group of warships appear all over the world and defeat humanity. 17 years after the devastating naval war, a group of people combat the warships with a mysterious submarine.",0,2013-10-01,portada/2022/01/11/Aoki_Hagane_no_Arpeggio_MID.jpg,4.5,1,8,12,https://www.imdb.com/title/tt3104246/,7.0
34,1,2023-10-08,2024-07-07,2024-07-07,Appare Ranman!,"3,17","In the late 19th century, two Japanese, an inventor and a samurai guard, get stranded in America. They enter a cross-country race from Los Angeles to New York to earn money to get home.",0,2020-03-01,portada/2022/01/11/Appare_Ranman_MID.jpg,5.4,1,8,13,https://www.imdb.com/title/tt11714178/,6.8
35,1,2023-10-08,2024-07-07,2024-07-07,Arata Kangatari,"2,12,38","The stage is the world of Amawakuni, where mankind coexists with the many gods. There, a boy called Arata is wrapped up in a coup d'état led by the Twelve Shinsho, wielders of swords called Hayagami. When he is accused of murdering a princess, Arata escapes to a forest, where he ...",0,2013-04-01,portada/2022/01/11/Arata_Kangatari_MID.png,5.2,1,8,12,https://www.imdb.com/title/tt2703706/,6.4
36,1,2023-10-08,2024-07-07,2024-07-07,Arcane,"1,2,9,12,35","Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League of Legends champions and the power that will tear them apart.",0,2021-11-06,portada/2023/05/10/Arcane_MID.jpg,9.3,1,8,9,https://www.imdb.com/title/tt11126994/,9.0
